step_times_dice,step_times_dice_hd
6.27E+08,7.45E+08
6.27E+08,8.10E+08
1.65E+08,7.16E+08
6.76E+08,5.53E+08
6.39E+08,1.12E+09
6.18E+08,4.20E+08
4.66E+08,6.59E+08
3.72E+08,1.22E+09
6.28E+08,5.55E+08
6.71E+08,1.07E+09
5.24E+08,7.49E+08
3.55E+08,7.67E+08
6.57E+08,6.92E+08
6.41E+08,7.39E+08
4.57E+08,7.30E+08
6.82E+08,6.07E+08
4.68E+08,8.34E+08
9.87E+08,7.15E+08
4.78E+08,1.18E+09
3.78E+08,5.85E+08
6.49E+08,8.80E+08
7.00E+08,9.05E+08
5.94E+08,7.47E+08
7.44E+08,4.64E+08
7.61E+08,8.83E+08
7.79E+08,8.74E+08
1.75E+08,5.71E+08
6.98E+08,4.74E+08
6.32E+08,9.36E+08
9.49E+08,8.16E+08
4.24E+08,7.23E+08
4.91E+08,4.79E+08
6.05E+08,7.10E+08
6.28E+08,7.61E+08
4.10E+08,5.68E+08
5.09E+08,7.49E+08
7.95E+08,5.41E+08
7.47E+08,7.18E+08
6.35E+08,4.96E+08
4.26E+08,5.04E+08
4.44E+08,7.09E+08
8.42E+08,7.30E+08
6.28E+08,5.11E+08
4.25E+08,7.68E+08
6.95E+08,5.62E+08
6.46E+08,9.32E+08
3.98E+08,5.76E+08
4.64E+08,7.84E+08
6.42E+08,5.46E+08
8.69E+08,1.00E+09
3.92E+08,4.23E+08
6.81E+08,6.34E+08
7.00E+08,6.93E+08
6.07E+08,7.09E+08
4.44E+08,4.66E+08
7.73E+08,6.19E+08
5.53E+08,7.78E+08
9.64E+08,1.06E+09
4.45E+08,5.75E+08
9.52E+08,8.03E+08
4.55E+08,5.39E+08
1.10E+09,1.07E+09
6.05E+08,6.04E+08
8.63E+08,7.76E+08
6.94E+08,7.52E+08
7.86E+08,6.08E+08
7.80E+08,4.32E+08
8.63E+08,6.13E+08
1.34E+09,9.99E+08
8.17E+08,6.22E+08
5.41E+08,3.83E+08
1.09E+09,7.34E+08
8.02E+08,8.20E+08
8.38E+08,7.41E+08
8.91E+08,7.39E+08
8.15E+08,3.46E+08
7.91E+08,1.05E+09
7.78E+08,8.37E+08
6.18E+08,4.80E+08
8.12E+08,6.16E+08
6.90E+08,1.12E+09
8.52E+08,8.28E+08
8.65E+08,7.74E+08
1.10E+09,7.50E+08
5.66E+08,8.87E+08
6.77E+08,5.05E+08
1.66E+08,6.67E+08
7.54E+08,9.55E+08
6.78E+08,8.37E+08
7.17E+08,8.70E+08
6.29E+08,6.96E+08
3.66E+08,9.22E+08
7.60E+08,8.06E+08
7.85E+08,1.15E+09
1.69E+08,6.18E+08
7.99E+08,5.55E+08
7.07E+08,7.59E+08
6.98E+08,7.38E+08
4.92E+08,5.23E+08
6.68E+08,7.77E+08
7.58E+08,5.56E+08
4.74E+08,1.02E+09
1.78E+08,5.63E+08
6.62E+08,5.01E+08
6.40E+08,8.33E+08
7.09E+08,1.02E+09
5.19E+08,2.40E+08
3.62E+08,1.12E+09
6.62E+08,5.54E+08
6.74E+08,7.35E+08
1.65E+08,3.17E+08
9.89E+08,7.38E+08
4.80E+08,7.90E+08
9.81E+08,7.94E+08
4.67E+08,5.34E+08
4.08E+08,8.23E+08
9.83E+08,5.47E+08
4.84E+08,7.44E+08
3.20E+08,5.84E+08
5.71E+08,7.94E+08
9.17E+08,5.72E+08
7.24E+08,7.97E+08
6.84E+08,3.97E+08
2.06E+08,6.50E+08
9.80E+08,7.83E+08
4.71E+08,6.89E+08
5.34E+08,5.64E+08
7.20E+08,5.30E+08
4.79E+08,7.83E+08
8.70E+08,7.15E+08
4.33E+08,3.87E+08
6.67E+08,5.63E+08
4.77E+08,5.83E+08
6.36E+08,5.55E+08
3.83E+08,5.59E+08
6.95E+08,3.78E+08
7.27E+08,5.65E+08
5.86E+08,5.94E+08
3.73E+08,3.40E+08
6.61E+08,5.86E+08
5.14E+08,6.18E+08
7.49E+08,5.62E+08
4.01E+08,3.36E+08
9.37E+08,6.24E+08
4.16E+08,5.95E+08
7.25E+08,5.74E+08
4.29E+08,3.75E+08
5.59E+08,6.10E+08
1.08E+09,5.90E+08
6.94E+08,6.04E+08
7.17E+08,5.96E+08
4.40E+08,2.99E+08
1.03E+09,6.63E+08
6.79E+08,6.07E+08
7.47E+08,5.57E+08
6.40E+08,6.37E+08
5.32E+08,6.15E+08
6.08E+08,6.22E+08
6.50E+08,5.30E+08
6.47E+08,6.01E+08
8.44E+08,6.09E+08
9.86E+08,7.30E+08
4.78E+08,5.69E+08
4.89E+08,1.10E+09
4.85E+08,5.30E+08
6.64E+08,7.78E+08
1.66E+08,5.74E+08
6.32E+08,6.04E+08
6.14E+08,5.93E+08
5.87E+08,7.34E+08
4.92E+08,6.14E+08
3.68E+08,5.83E+08
6.41E+08,6.73E+08
6.97E+08,8.41E+08
4.97E+08,4.95E+08
5.07E+08,5.01E+08
4.82E+08,7.55E+08
8.87E+08,9.08E+08
4.86E+08,5.04E+08
3.69E+08,5.24E+08
6.47E+08,7.55E+08
6.47E+08,7.08E+08
4.48E+08,4.92E+08
3.86E+08,5.55E+08
6.34E+08,9.20E+08
6.58E+08,5.46E+08
4.91E+08,5.55E+08
3.84E+08,7.57E+08
6.56E+08,5.50E+08
6.09E+08,7.35E+08
4.76E+08,3.15E+08
3.85E+08,8.28E+08
6.26E+08,8.98E+08
6.50E+08,6.70E+08
1.72E+08,4.99E+08
7.32E+08,5.15E+08
6.55E+08,7.48E+08
6.14E+08,7.31E+08
4.89E+08,5.35E+08
4.05E+08,7.88E+08
6.38E+08,7.53E+08
6.72E+08,5.72E+08
4.52E+08,7.42E+08
4.39E+08,3.92E+08
6.26E+08,9.69E+08
6.28E+08,7.68E+08
6.25E+08,4.51E+08
2.14E+08,5.61E+08
6.33E+08,7.65E+08
6.33E+08,7.10E+08
4.16E+08,4.25E+08
4.33E+08,5.65E+08
6.49E+08,6.83E+08
8.27E+08,8.39E+08
5.83E+08,6.15E+08
5.40E+08,5.68E+08
6.14E+08,7.06E+08
7.75E+08,6.94E+08
3.79E+08,5.25E+08
7.03E+08,7.71E+08
5.92E+08,6.66E+08
5.92E+08,6.44E+08
3.73E+08,3.51E+08
5.41E+08,1.05E+09
5.74E+08,5.50E+08
8.55E+08,9.10E+08
4.30E+08,7.37E+08
6.99E+08,4.22E+08
1.00E+09,1.09E+09
4.48E+08,7.59E+08
7.73E+08,8.35E+08
4.30E+08,7.58E+08
1.08E+09,6.69E+08
4.95E+08,6.80E+08
5.97E+08,6.87E+08
8.68E+08,7.05E+08
6.63E+08,8.02E+08
6.06E+08,8.38E+08
6.46E+08,1.02E+09
6.37E+08,5.70E+08
6.48E+08,7.22E+08
8.01E+08,7.11E+08
1.22E+09,2.47E+08
1.02E+09,7.15E+08
4.69E+08,7.04E+08
6.00E+08,7.13E+08
6.98E+08,5.87E+08
5.50E+08,6.49E+08
5.51E+08,6.41E+08
4.52E+08,5.05E+08
5.60E+08,5.98E+08
5.76E+08,5.72E+08
5.07E+08,5.20E+08
4.86E+08,6.70E+08
5.29E+08,5.81E+08
7.12E+08,5.74E+08
6.24E+08,5.22E+08
4.84E+08,6.94E+08
5.61E+08,2.48E+08
5.21E+08,7.57E+08
5.28E+08,9.44E+08
4.82E+08,5.63E+08
5.53E+08,2.53E+08
5.39E+08,6.98E+08
5.40E+08,8.98E+08
4.95E+08,5.53E+08
5.21E+08,5.42E+08
4.99E+08,5.54E+08
4.54E+08,5.66E+08
6.92E+08,7.30E+08
4.98E+08,5.77E+08
4.96E+08,5.43E+08
7.34E+08,5.71E+08
7.43E+08,6.80E+08
4.96E+08,2.49E+08
5.21E+08,8.77E+08
5.21E+08,8.73E+08
6.37E+08,7.80E+08
5.06E+08,6.65E+08
3.76E+08,6.70E+08
8.11E+08,5.73E+08
5.08E+08,6.89E+08
4.94E+08,5.23E+08
3.62E+08,4.58E+08
8.93E+08,7.04E+08
7.27E+08,7.30E+08
4.85E+08,5.97E+08
3.93E+08,4.87E+08
6.87E+08,8.93E+08
9.06E+08,5.76E+08
5.96E+08,5.30E+08
4.03E+08,6.60E+08
6.74E+08,7.92E+08
6.39E+08,5.68E+08
4.65E+08,5.48E+08
6.63E+08,7.09E+08
4.85E+08,5.64E+08
6.20E+08,7.18E+08
4.35E+08,5.30E+08
4.60E+08,6.57E+08
7.53E+08,6.10E+08
8.93E+08,9.01E+08
4.56E+08,4.65E+08
6.06E+08,7.06E+08
5.64E+08,6.06E+08
8.59E+08,7.35E+08
4.71E+08,4.95E+08
5.48E+08,6.77E+08
7.94E+08,7.54E+08
5.01E+08,8.35E+08
4.48E+08,4.70E+08
5.67E+08,6.72E+08
7.37E+08,8.00E+08
8.88E+08,5.96E+08
3.90E+08,4.87E+08
5.93E+08,6.48E+08
7.63E+08,8.31E+08
7.26E+08,7.01E+08
4.44E+08,4.51E+08
9.91E+08,7.54E+08
7.29E+08,7.92E+08
4.37E+08,7.76E+08
6.39E+08,4.05E+08
3.68E+08,7.92E+08
9.61E+08,1.02E+09
7.54E+08,4.18E+08
6.76E+08,7.27E+08
7.35E+08,8.59E+08
6.73E+08,7.11E+08
6.24E+08,6.65E+08
6.38E+08,7.00E+08
5.64E+08,6.49E+08
7.67E+08,8.75E+08
7.10E+08,7.88E+08
1.03E+09,1.04E+09
4.75E+08,5.74E+08
5.25E+08,7.74E+08
5.60E+08,6.81E+08
3.71E+08,5.53E+08
3.83E+08,6.46E+08
4.89E+08,5.07E+08
5.14E+08,9.98E+08
3.42E+08,5.45E+08
3.81E+08,6.11E+08
4.88E+08,5.89E+08
5.62E+08,6.87E+08
3.49E+08,5.60E+08
3.87E+08,5.73E+08
4.93E+08,5.35E+08
5.11E+08,7.69E+08
3.91E+08,5.35E+08
4.32E+08,5.46E+08
4.66E+08,5.73E+08
5.58E+08,7.23E+08
3.47E+08,5.23E+08
4.29E+08,6.82E+08
5.32E+08,5.61E+08
5.91E+08,9.06E+08
3.46E+08,5.46E+08
3.76E+08,4.48E+08
5.69E+08,6.80E+08
4.75E+08,6.90E+08
3.53E+08,6.03E+08
3.82E+08,4.45E+08
5.69E+08,6.90E+08
4.77E+08,7.18E+08
3.54E+08,5.28E+08
3.89E+08,5.11E+08
5.24E+08,9.40E+08
5.17E+08,5.45E+08
3.64E+08,5.42E+08
3.81E+08,4.40E+08
5.45E+08,9.94E+08
5.28E+08,5.63E+08
3.58E+08,5.73E+08
3.90E+08,6.65E+08
5.22E+08,7.66E+08
5.23E+08,5.53E+08
3.25E+08,5.42E+08
4.04E+08,6.83E+08
5.18E+08,5.66E+08
5.22E+08,8.93E+08
3.58E+08,5.15E+08
4.52E+08,7.02E+08
5.06E+08,5.61E+08
5.21E+08,7.83E+08
3.75E+08,5.17E+08
4.30E+08,8.04E+08
4.84E+08,7.46E+08
5.52E+08,5.80E+08
2.85E+08,5.15E+08
4.33E+08,5.67E+08
5.30E+08,7.31E+08
5.50E+08,8.53E+08
3.00E+08,4.88E+08
4.65E+08,5.41E+08
5.04E+08,7.37E+08
5.56E+08,7.86E+08
2.79E+08,5.29E+08
4.74E+08,9.03E+08
5.24E+08,7.55E+08
5.53E+08,8.24E+08
2.35E+08,4.93E+08
5.00E+08,7.61E+08
5.59E+08,1.06E+09
5.35E+08,6.16E+08
2.69E+08,4.52E+08
7.95E+08,6.99E+08
5.62E+08,1.04E+09
5.33E+08,4.95E+08
5.29E+08,4.92E+08
5.02E+08,1.09E+09
6.50E+08,7.70E+08
6.28E+08,8.92E+08
7.71E+08,9.61E+08
5.73E+08,8.93E+08
4.83E+08,9.40E+08
5.22E+08,1.00E+09
1.85E+08,9.07E+08
5.28E+08,9.92E+08
5.15E+08,9.72E+08
5.27E+08,1.03E+09
4.63E+08,7.56E+08
4.75E+08,8.81E+08
4.73E+08,5.48E+08
4.56E+08,9.27E+08
1.78E+08,5.69E+08
5.62E+08,5.77E+08
6.18E+08,5.64E+08
6.12E+08,7.39E+08
6.17E+08,5.79E+08
6.14E+08,5.82E+08
5.62E+08,5.74E+08
5.45E+08,7.03E+08
5.90E+08,4.57E+08
6.06E+08,4.80E+08
5.54E+08,5.60E+08
4.51E+08,5.90E+08
6.10E+08,4.26E+08
5.83E+08,4.67E+08
5.52E+08,5.73E+08
4.47E+08,6.06E+08
5.47E+08,4.53E+08
5.50E+08,4.53E+08
5.92E+08,6.02E+08
7.03E+08,6.31E+08
5.51E+08,4.43E+08
5.39E+08,4.48E+08
5.30E+08,6.06E+08
4.91E+08,5.89E+08
5.69E+08,4.17E+08
6.75E+08,4.67E+08
5.21E+08,5.98E+08
4.89E+08,5.93E+08
5.59E+08,4.18E+08
4.78E+08,4.75E+08
4.47E+08,6.09E+08
6.63E+08,8.35E+08
5.72E+08,5.65E+08
5.15E+08,4.35E+08
4.55E+08,7.64E+08
6.95E+08,7.02E+08
5.29E+08,4.91E+08
4.72E+08,6.80E+08
4.92E+08,6.00E+08
7.08E+08,9.53E+08
5.21E+08,5.22E+08
3.58E+08,7.22E+08
8.17E+08,7.80E+08
5.11E+08,5.62E+08
5.70E+08,4.83E+08
3.59E+08,7.65E+08
6.88E+08,6.14E+08
6.49E+08,7.42E+08
5.56E+08,5.14E+08
3.82E+08,7.68E+08
8.16E+08,8.67E+08
5.05E+08,5.50E+08
4.81E+08,5.10E+08
3.87E+08,6.51E+08
7.62E+08,8.50E+08
5.65E+08,5.82E+08
5.71E+08,6.43E+08
4.67E+08,8.37E+08
6.20E+08,8.32E+08
6.64E+08,8.91E+08
5.82E+08,5.71E+08
3.77E+08,8.55E+08
8.82E+08,8.63E+08
4.82E+08,6.00E+08
4.79E+08,5.16E+08
5.80E+08,5.57E+08
7.49E+08,1.07E+09
5.01E+08,8.53E+08
4.05E+08,5.53E+08
6.46E+08,1.19E+09
6.33E+08,4.87E+08
5.74E+08,1.17E+09
4.15E+08,3.78E+08
5.33E+08,1.27E+09
8.09E+08,3.19E+08
6.76E+08,1.21E+09
4.13E+08,5.98E+08
5.49E+08,1.13E+09
1.09E+09,7.39E+08
7.05E+08,7.53E+08
7.05E+08,7.85E+08
7.17E+08,7.09E+08
6.93E+08,8.70E+08
6.78E+08,8.19E+08
7.71E+08,1.20E+09
6.17E+08,5.48E+08
7.01E+08,7.41E+08
6.33E+08,6.93E+08
6.21E+08,5.43E+08
7.17E+08,4.62E+08
1.02E+09,7.18E+08
1.04E+09,6.98E+08
7.62E+08,6.39E+08
7.75E+08,4.60E+08
7.99E+08,8.07E+08
7.47E+08,7.75E+08
1.75E+08,5.57E+08
8.72E+08,4.71E+08
8.16E+08,1.07E+09
8.18E+08,5.51E+08
7.67E+08,5.35E+08
8.48E+08,4.81E+08
7.41E+08,7.94E+08
7.58E+08,7.88E+08
7.43E+08,5.62E+08
5.61E+08,4.81E+08
5.09E+08,7.52E+08
4.75E+08,7.22E+08
7.38E+08,5.21E+08
7.76E+08,5.14E+08
6.99E+08,7.40E+08
8.29E+08,7.71E+08
7.10E+08,5.11E+08
7.27E+08,5.12E+08
7.26E+08,7.78E+08
4.79E+08,7.78E+08
5.99E+08,5.39E+08
4.98E+08,5.17E+08
4.48E+08,8.01E+08
6.43E+08,1.04E+09
6.16E+08,4.74E+08
5.14E+08,5.14E+08
4.30E+08,7.64E+08
6.59E+08,7.15E+08
5.45E+08,5.78E+08
3.72E+08,5.32E+08
6.70E+08,1.16E+09
6.63E+08,6.24E+08
5.41E+08,4.98E+08
3.54E+08,6.29E+08
6.32E+08,7.84E+08
6.62E+08,5.79E+08
6.76E+08,4.69E+08
4.29E+08,5.67E+08
8.43E+08,7.55E+08
6.83E+08,7.04E+08
5.35E+08,4.66E+08
6.30E+08,5.66E+08
4.71E+08,7.23E+08
9.01E+08,8.52E+08
4.86E+08,4.52E+08
3.81E+08,7.04E+08
6.69E+08,6.43E+08
6.64E+08,6.77E+08
5.13E+08,6.39E+08
4.26E+08,8.03E+08
9.21E+08,6.17E+08
4.90E+08,9.09E+08
4.58E+08,5.81E+08
4.42E+08,8.32E+08
8.17E+08,7.85E+08
7.80E+08,7.07E+08
4.45E+08,8.28E+08
4.38E+08,4.70E+08
6.72E+08,7.29E+08
6.65E+08,1.17E+09
4.51E+08,5.23E+08
4.27E+08,1.05E+09
6.57E+08,8.10E+08
6.44E+08,8.18E+08
3.95E+08,7.58E+08
5.72E+08,7.49E+08
6.80E+08,7.17E+08
6.54E+08,7.02E+08
4.55E+08,7.49E+08
6.27E+08,1.07E+09
5.67E+08,9.76E+08
8.48E+08,7.18E+08
3.76E+08,7.22E+08
5.38E+08,7.74E+08
7.78E+08,7.52E+08
5.02E+08,7.19E+08
3.91E+08,6.31E+08
9.46E+08,7.03E+08
4.42E+08,8.57E+08
6.96E+08,7.84E+08
3.85E+08,1.06E+09
9.90E+08,5.73E+08
4.22E+08,7.44E+08
9.97E+08,7.28E+08
6.85E+08,5.05E+08
3.52E+08,4.76E+08
9.58E+08,7.59E+08
7.14E+08,7.04E+08
6.09E+08,4.93E+08
7.34E+08,4.82E+08
5.92E+08,9.67E+08
6.37E+08,5.54E+08
6.30E+08,5.30E+08
1.14E+09,4.86E+08
5.78E+08,6.86E+08
9.24E+08,8.68E+08
6.42E+08,5.35E+08
7.23E+08,4.87E+08
6.30E+08,7.95E+08
7.20E+08,7.25E+08
5.67E+08,5.76E+08
8.06E+08,4.86E+08
6.83E+08,1.01E+09
9.72E+08,8.35E+08
5.33E+08,5.00E+08
5.00E+08,5.08E+08
4.33E+08,8.04E+08
6.55E+08,8.78E+08
4.87E+08,4.91E+08
5.20E+08,5.14E+08
4.57E+08,7.17E+08
6.60E+08,7.43E+08
5.18E+08,5.43E+08
5.24E+08,5.27E+08
4.81E+08,1.05E+09
6.43E+08,5.74E+08
5.27E+08,5.15E+08
5.82E+08,5.24E+08
4.79E+08,9.87E+08
8.76E+08,8.37E+08
5.11E+08,4.96E+08
4.75E+08,8.08E+08
4.96E+08,5.49E+08
6.19E+08,9.70E+08
4.83E+08,4.68E+08
3.76E+08,5.48E+08
8.55E+08,9.33E+08
4.70E+08,7.91E+08
4.79E+08,4.98E+08
4.87E+08,8.27E+08
4.98E+08,5.60E+08
6.29E+08,8.45E+08
4.92E+08,4.57E+08
3.77E+08,5.76E+08
6.73E+08,7.06E+08
6.49E+08,9.65E+08
5.29E+08,3.90E+08
6.30E+08,6.79E+08
4.99E+08,9.68E+08
8.19E+08,8.26E+08
4.81E+08,7.13E+08
4.11E+08,4.43E+08
6.63E+08,5.77E+08
6.91E+08,9.33E+08
4.35E+08,7.81E+08
4.23E+08,8.00E+08
6.38E+08,7.77E+08
8.41E+08,5.55E+08
4.64E+08,7.07E+08
4.22E+08,7.86E+08
8.56E+08,8.41E+08
5.03E+08,8.22E+08
4.42E+08,8.36E+08
6.39E+08,7.77E+08
6.87E+08,8.59E+08
6.76E+08,9.41E+08
4.31E+08,7.63E+08
6.41E+08,8.92E+08
6.82E+08,6.94E+08
4.95E+08,6.92E+08
4.34E+08,5.79E+08
6.10E+08,6.07E+08
5.25E+08,6.07E+08
6.70E+08,5.70E+08
4.30E+08,5.52E+08
6.87E+08,6.20E+08
6.27E+08,7.47E+08
5.79E+08,5.49E+08
4.54E+08,5.59E+08
6.72E+08,5.49E+08
6.82E+08,5.59E+08
6.88E+08,7.29E+08
3.93E+08,5.21E+08
9.50E+08,5.50E+08
3.98E+08,5.67E+08
1.01E+09,7.24E+08
6.30E+08,5.30E+08
7.12E+08,5.51E+08
6.25E+08,5.58E+08
6.44E+08,1.12E+09
7.92E+08,5.85E+08
6.72E+08,6.71E+08
1.05E+09,5.56E+08
6.20E+08,7.40E+08
5.41E+08,5.44E+08
8.28E+08,4.41E+08
6.82E+08,8.10E+08
6.47E+08,7.31E+08
5.38E+08,5.75E+08
6.48E+08,4.71E+08
6.78E+08,7.90E+08
7.32E+08,9.45E+08
6.29E+08,5.42E+08
7.73E+08,7.60E+08
7.97E+08,7.62E+08
6.30E+08,5.64E+08
1.74E+08,6.11E+08
6.76E+08,6.97E+08
5.85E+08,6.23E+08
7.05E+08,7.09E+08
1.84E+08,5.32E+08
6.33E+08,5.16E+08
8.52E+08,6.94E+08
4.74E+08,9.30E+08
1.71E+08,5.44E+08
6.61E+08,5.13E+08
6.23E+08,7.44E+08
5.99E+08,7.54E+08
1.66E+08,4.94E+08
7.10E+08,5.37E+08
5.99E+08,6.61E+08
6.65E+08,5.78E+08
6.27E+08,3.76E+08
5.60E+08,5.57E+08
5.69E+08,5.62E+08
5.80E+08,6.07E+08
1.69E+08,3.88E+08
6.72E+08,5.13E+08
5.97E+08,5.95E+08
6.62E+08,6.29E+08
5.99E+08,3.38E+08
6.24E+08,5.84E+08
5.40E+08,5.74E+08
6.41E+08,6.09E+08
7.12E+08,3.43E+08
5.81E+08,5.67E+08
5.29E+08,6.35E+08
4.37E+08,5.98E+08
6.19E+08,3.42E+08
5.41E+08,5.94E+08
5.01E+08,5.86E+08
4.80E+08,8.85E+08
5.90E+08,5.63E+08
5.49E+08,6.65E+08
5.54E+08,6.11E+08
4.84E+08,5.77E+08
5.29E+08,6.27E+08
5.06E+08,5.13E+08
6.64E+08,7.62E+08
4.67E+08,6.59E+08
5.16E+08,9.08E+08
5.24E+08,6.18E+08
4.87E+08,7.08E+08
6.27E+08,7.36E+08
5.11E+08,5.39E+08
3.44E+08,4.61E+08
7.96E+08,9.51E+08
6.15E+08,5.41E+08
5.17E+08,4.93E+08
4.00E+08,4.78E+08
6.42E+08,8.94E+08
6.48E+08,5.53E+08
5.07E+08,5.93E+08
4.13E+08,4.89E+08
6.32E+08,7.42E+08
8.55E+08,6.94E+08
4.42E+08,5.03E+08
4.03E+08,5.11E+08
6.88E+08,9.90E+08
8.66E+08,5.54E+08
4.13E+08,4.90E+08
5.94E+08,5.14E+08
7.35E+08,7.57E+08
4.93E+08,7.49E+08
4.32E+08,5.03E+08
4.44E+08,4.96E+08
6.51E+08,7.30E+08
8.45E+08,8.36E+08
4.53E+08,4.86E+08
6.65E+08,5.21E+08
4.75E+08,8.79E+08
7.32E+08,7.12E+08
4.13E+08,5.08E+08
6.53E+08,7.66E+08
7.68E+08,5.59E+08
6.72E+08,7.04E+08
4.15E+08,4.73E+08
5.46E+08,8.04E+08
7.87E+08,5.39E+08
6.77E+08,9.32E+08
3.93E+08,4.54E+08
6.42E+08,5.37E+08
1.00E+09,8.63E+08
3.18E+08,8.60E+08
6.45E+08,4.46E+08
4.53E+08,8.23E+08
9.86E+08,5.40E+08
6.60E+08,8.83E+08
5.92E+08,7.36E+08
6.67E+08,8.85E+08
6.29E+08,6.31E+08
6.11E+08,1.11E+09
6.14E+08,7.30E+08
6.90E+08,6.73E+08
1.15E+09,7.70E+08
6.04E+08,1.20E+09
4.16E+08,5.46E+08
9.62E+08,6.42E+08
7.39E+08,6.66E+08
5.96E+08,8.21E+08
6.41E+08,4.80E+08
6.69E+08,1.06E+09
6.09E+08,7.79E+08
6.53E+08,3.95E+08
6.47E+08,6.38E+08
7.40E+08,8.01E+08
8.71E+08,7.07E+08
7.40E+08,8.45E+08
1.68E+08,6.42E+08
6.87E+08,7.98E+08
5.93E+08,1.17E+09
9.08E+08,8.16E+08
1.67E+08,7.00E+08
6.74E+08,6.80E+08
6.09E+08,7.69E+08
7.09E+08,7.22E+08
1.76E+08,6.31E+08
6.84E+08,9.00E+08
6.48E+08,8.52E+08
7.26E+08,1.07E+09
1.67E+08,5.61E+08
6.99E+08,5.65E+08
6.07E+08,5.60E+08
6.27E+08,6.89E+08
1.68E+08,7.34E+08
7.09E+08,6.14E+08
6.45E+08,5.55E+08
6.07E+08,7.01E+08
6.87E+08,5.53E+08
5.96E+08,5.67E+08
6.25E+08,5.76E+08
5.52E+08,7.25E+08
1.84E+08,5.46E+08
6.60E+08,4.58E+08
6.35E+08,7.36E+08
6.39E+08,7.39E+08
4.39E+08,6.38E+08
4.34E+08,5.50E+08
4.37E+08,5.70E+08
5.36E+08,7.38E+08
4.23E+08,5.99E+08
3.85E+08,4.35E+08
4.35E+08,7.74E+08
5.05E+08,7.00E+08
4.40E+08,5.24E+08
4.13E+08,4.67E+08
4.50E+08,9.51E+08
5.00E+08,5.62E+08
4.04E+08,7.39E+08
3.90E+08,4.25E+08
4.55E+08,1.26E+09
4.94E+08,5.63E+08
3.90E+08,7.27E+08
3.68E+08,4.83E+08
5.04E+08,7.79E+08
4.95E+08,7.24E+08
3.97E+08,4.90E+08
3.48E+08,4.96E+08
5.71E+08,7.29E+08
5.08E+08,7.34E+08
5.15E+08,4.85E+08
